ssc_p,hsc_p,status
67,91,1
79.33,78.33,1
65,68,1
56,52,0
85.8,73.6,1
55,49.8,0
46,49.2,0
82,64,1
73,79,1
58,70,0
58,61,1
69.6,68.4,1
47,55,0
77,87,1
62,47,0
65,75,1
63,66.2,1
55,67,0
63,66,0
60,67,1
62,65,1
79,76,1
69.8,60.8,1
77.4,60,1
76.5,97.7,1
52.58,54.6,0
71,79,1
63,67,1
76.76,76.5,1
62,67,0
64,73.5,1
67,53,0
61,81,1
87,65,1
62,51,0
69,78,1
51,44,0
79,76,1
73,58,1
81,68,1
78,77,1
74,63.16,0
49,39,0
87,87,1
77,73,1
76,64,0
70.89,71.98,0
63,60,1
63,62,1
50,37,0
75.2,73.2,1
54.4,61.12,0
40.89,45.83,0
80,70,1
74,60,1
60.4,66.6,1
63,71.4,1
68,76,1
74,62,1
52.6,65.58,1
74,70,1
84.2,73.4,1
86.5,64.2,1
61,70,0
80,73,1
54,47,0
83,74,1
80.92,78.5,1
69.7,47,0
73,73,1
82,61,1
75,70.29,1
84.86,67,1
64.6,83.83,1
56.6,64.8,1
59,62,0
66.5,70.4,1
64,80,1
84,90.9,1
69,62,0
69,62,1
81.7,63,1
63,67,0
84,79,1
70,63,1
83.84,89.83,1
62,63,1
59.6,51,0
66,62,1
84,75,1
85,90,1
52,57,0
60.23,69,1
52,62,0
58,62,1
73,78,1
76,70,1
70.5,62.5,0
69,73,1
54,82,0
45,57,0
63,72,1
77,61,1
73,78,1
69,63,1
59,64,0
61.08,50,0
82,90,1
61,82,1
52,63,0
69.5,70,1
51,54,0
58,61,1
73.96,79,1
65,68,1
73,63,1
68.2,72.8,1
77,75,1
76,80,1
60.8,68.4,1
58,40,0
64,67,1
66.5,66.8,1
74,59,1
67,71,1
84,73,1
79,61,1
72,60,1
80.4,73.4,1
76.7,89.7,1
62,65,0
74.9,57,1
67,68,1
73,64,1
77.44,92,1
72,56,1
47,59,0
67,63,1
82,64,1
77,70,1
65,64.8,1
66,64,0
85,60,1
77.67,64.89,1
52,50,0
89.4,65.66,1
62,63,1
70,74,1
77,86,1
44,58,0
71,58.66,1
65,65,1
75.4,60.5,1
49,59,1
53,63,1
51.57,74.66,0
84.2,69.4,1
66.5,62.5,1
67,63,0
52,49,0
87,74,1
55.6,51,0
74.2,87.6,1
63,67,1
67.16,72.5,1
63.3,78.33,0
62,62,1
67.9,62,0
48,51,0
59.96,42.16,0
63.4,67.2,0
80,80,1
73,58,1
52,52,0
73.24,50.83,1
63,62,0
59,60,1
73,97,1
68,56,1
77.8,64,0
65,71.5,1
62,60.33,0
52,65,0
65,77,1
56.28,62.83,0
88,72,1
52,64,0
78.5,65.5,1
61.8,47,0
54,77.6,0
64,70.2,0
67,61,1
65.2,61.4,1
60,63,1
52,55,0
66,76,1
72,63,1
83.96,53,1
67,70,0
69,65,1
69,60,1
54.2,63,0
70,63,1
55.68,61.33,1
74,73,1
61,62,1
41,42,0
83.33,78,1
43,60,0
62,72,1
80.6,82,1
58,60,1
67,67,1
74,66,1
62,58,0
